Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
    Business, research and administrative professionals	242	13	728.5	740.9	x	498.4	551.1	586.2	638.9	780.2	866.1	958.3	x	x
      Chartered and certified accountants	2421	x	625.0	649.6	x	x	x	x	x	x	x	x	x	x
      Management consultants and business analysts	2423	x	x	792.0	x	x	x	x	x	x	x	x	x	x
      Business and financial project management professionals	2424	x	629.1	709.8	x	x	x	x	x	x	x	x	x	x
      Actuaries, economists and statisticians	2425	x	750.6	744.3	x	x	x	x	x	x	x	x	x	x
      Business and related research professionals	2426	x	630.6	689.0	x	x	x	x	x	x	x	x	x	x
      Business, research and administrative professionals n.e.c.	2429	x	x	945.3	x	x	x	x	x	x	x	x	x	x
    Architects, town planners and surveyors	243	x	665.5	710.8	x	x	x	x	597.9	686.2	x	x	x	x
      Architects	2431	x	x	x	x	x	x	x	x	x	x	x	x	x
      Town planning officers	2432	..												
      Quantity surveyors	2433	x	687.3	826.6	x	x	x	x	x	x	x	x	x	x
      Chartered surveyors	2434	x	552.8	602.5	x	x	x	x	x	x	x	x	x	x
      Chartered architectural technologists	2435	..												
      Construction project managers and related professionals	2436	x	674.0	740.5	x	x	x	x	x	x	x	x	x	x
    Welfare professionals	244	13	560.8	553.3	245.7	334.4	371.5	431.1	498.7	638.8	683.8	725.7	766.5	x
      Social workers	2442	10	620.4	588.7	x	x	x	x	x	x	x	x	x	x
      Probation officers	2443	..												
      Clergy	2444	x	x	497.5	x	x	x	x	x	x	x	x	x	x
      Welfare professionals n.e.c.	2449	x	x	252.6	x	x	x	x	x	x	x	x	x	x
    Librarians and related professionals	245	..												
      Librarians	2451	:												
      Archivists and curators	2452	..												
    Quality and regulatory professionals	246	x	700.2	754.5	x	x	x	x	x	x	x	x	x	x
      Quality control and planning engineers	2461	x	x	x	x	x	x	x	x	x	x	x	x	x
      Quality assurance and regulatory professionals	2462	x	x	816.4	x	x	x	x	x	x	x	x	x	x
      Environmental health professionals	2463	x	619.0	655.7	x	x	x	x	x	x	x	x	x	x
    Media professionals	247	x	x	x	x	x	x	x	x	x	x	x	x	x
      Journalists, newspaper and periodical editors	2471	x	x	x	x	x	x	x	x	x	x	x	x	x
      Public relations professionals	2472	x	x	x	x	x	x	x	x	x	x	x	x	x
      Advertising accounts managers and creative directors	2473	..												
Associate professional and technical occupations	3	97	543.4	585.6	255.9	366.1	397.2	431.5	494.2	602.5	682.0	737.7	812.9	977.0
  Science, engineering and technology associate professionals	31	14	486.9	481.5	284.1	346.2	367.7	381.8	451.8	517.5	535.4	548.8	x	x
    Science, engineering and production technicians	311	7	477.7	465.3	x	348.9	371.4	392.7	433.6	495.0	523.0	x	x	x
      Laboratory technicians	3111	x	432.5	449.4	x	x	x	x	x	x	x	x	x	x
      Electrical and electronics technicians	3112	..												
      Engineering technicians	3113	x	528.3	520.2	x	x	x	x	x	x	x	x	x	x
      Building and civil engineering technicians	3114	:												
      Quality assurance technicians	3115	x	459.9	494.6	x	x	x	x	x	x	x	x	x	x
      Planning, process and production technicians	3116	x	494.4	524.2	x	x	x	x	x	x	x	x	x	x
      Science, engineering and production technicians n.e.c.	3119	x	364.3	429.3	x	x	x	x	x	x	x	x	x	x
    Draughtspersons and related architectural technicians	312	x	465.8	493.5	x	x	x	x	x	546.1	x	x	x	x
      Architectural and town planning technicians	3121	x	459.2	466.1	x	x	x	x	x	x	x	x	x	x
      Draughtspersons	3122	x	482.2	506.9	x	x	x	x	x	x	x	x	x	x
    Information technology technicians	313	x	516.1	502.2	x	x	x	x	439.7	x	x	x	x	x
      IT operations technicians	3131	x	x	532.8	x	x	x	x	x	x	x	x	x	x
      IT user support technicians	3132	x	x	x	x	x	x	x	x	x	x	x	x	x
  Health and social care associate professionals	32	18	392.8	382.0	x	x	247.2	277.0	352.7	424.8	482.0	509.7	x	x
    Health associate professionals	321	x	405.1	457.1	x	x	x	352.9	373.8	443.6	x	x	x	x
      Paramedics	3213	x	670.1	743.5	x	x	x	x	x	x	x	x	x	x
      Dispensing opticians	3216	:												
      Pharmaceutical technicians	3217	x	328.6	352.4	x	x	x	x	x	x	x	x	x	x
      Medical and dental technicians	3218	x	410.4	435.8	x	x	x	x	x	x	x	x	x	x
      Health associate professionals n.e.c.	3219	..												
    Welfare and housing associate professionals	323	13	379.2	359.0	x	x	x	x	304.3	407.5	459.7	497.6	x	x
      Youth and community workers	3231	6	x	357.4	x	x	x	x	x	x	x	x	x	x
      Child and early years officers	3233	x	x	x	x	x	x	x	x	x	x	x	x	x
      Housing officers	3234	x	392.5	386.0	x	x	x	x	x	x	x	x	x	x
      Counsellors	3235	x	x	249.3	x	x	x	x	x	x	x	x	x	x
      Welfare and housing associate professionals n.e.c.	3239	x	x	375.0	x	x	x	x	x	x	x	x	x	x
  Protective service occupations	33	18	904.6	860.5	x	561.9	629.0	728.3	857.0	978.8	1,021.9	1,085.3	1,112.5	x
    Protective service occupations	331	18	904.6	860.5	x	561.9	629.0	728.3	857.0	978.8	1,021.9	1,085.3	1,112.5	x
      NCOs and other ranks	3311	:												
      Police officers (sergeant and below)	3312	13	1,004.6	996.4	x	x	x	x	x	x	x	x	x	x
      Fire service officers (watch manager and below)	3313	x	x	x	x	x	x	x	x	x	x	x	x	x
      Prison service officers (below principal officer)	3314	x	493.2	494.0	x	x	x	x	x	x	x	x	x	x
      Police community support officers	3315	:												
      Protective service associate professionals n.e.c.	3319	x	x	x	x	x	x	x	x	x	x	x	x	x
  Culture, media and sports occupations	34	x	x	379.8	x	x	x	x	x	x	x	x	x	x
    Artistic, literary and media occupations	341	x	x	x	x	x	x	x	x	x	x	x	x	x
      Artists	3411	:												
      Authors, writers and translators	3412	..												
      Actors, entertainers and presenters	3413	..												
      Dancers and choreographers	3414	:												
      Musicians	3415	..												
      Arts officers, producers and directors	3416	x	x	559.9	x	x	x	x	x	x	x	x	x	x
      Photographers, audio-visual and broadcasting equipment operators	3417	x	x	x	x	x	x	x	x	x	x	x	x	x
    Design occupations	342	x	x	x	x	x	x	x	x	x	x	x	x	x
      Graphic designers	3421	x	x	x	x	x	x	x	x	x	x	x	x	x
      Product, clothing and related designers	3422	..												
    Sports and fitness occupations	344	x	x	x	x	x	x	x	x	x	x	x	x	x
      Sports players	3441	..												
      Sports coaches, instructors and officials	3442	x	x	x	x	x	x	x	x	x	x	x	x	x
      Fitness instructors	3443	:												
  Business and public service associate professionals	35	43	575.3	610.5	348.3	435.4	463.3	491.8	546.3	609.8	683.9	733.3	767.3	x
    Transport associate professionals	351	..												
      Air traffic controllers	3511	:												
      Aircraft pilots and flight engineers	3512	..												
      Ship and hovercraft officers	3513	..												
    Legal associate professionals	352	..												
      Legal associate professionals	3520	..												
    Business, finance and related associate professionals	353	7	533.6	605.6	x	427.1	430.4	459.9	522.7	613.9	716.5	x	x	x
      Estimators, valuers and assessors	3531	..												
      Brokers	3532	..												
      Insurance underwriters	3533	..												
      Finance and investment analysts and advisers	3534	x	x	708.2	x	x	x	x	x	x	x	x	x	x
      Taxation experts	3535	:												
      Importers and exporters	3536	:												
      Financial and accounting technicians	3537	x	x	552.3	x	x	x	x	x	x	x	x	x	x
      Financial accounts managers	3538	x	725.1	711.7	x	x	x	x	x	x	x	x	x	x
      Business and related associate professionals n.e.c.	3539	x	467.5	526.5	x	x	x	x	x	x	x	x	x	x
    Sales, marketing and related associate professionals	354	16	565.2	596.5	333.7	404.6	433.9	456.4	507.7	590.9	670.9	681.7	x	x
      Buyers and procurement officers	3541	x	495.2	533.4	x	x	x	x	x	x	x	x	x	x
      Business sales executives	3542	x	569.6	622.8	x	x	x	x	x	x	x	x	x	x
      Marketing associate professionals	3543	x	434.7	479.9	x	x	x	x	x	x	x	x	x	x
      Estate agents and auctioneers	3544	x	x	x	x	x	x	x	x	x	x	x	x	x
      Sales accounts and business development managers	3545	6	639.7	647.8	x	x	x	x	x	x	x	x	x	x
      Conference and exhibition managers and organisers	3546	x	x	x	x	x	x	x	x	x	x	x	x	x
    Conservation and environmental associate professionals	355	x	x	x	x	x	x	x	x	x	x	x	x	x
      Conservation and environmental associate professionals	3550	x	x	x	x	x	x	x	x	x	x	x	x	x
    Public services and other associate professionals	356	18	602.7	613.9	369.5	480.1	499.9	530.1	572.4	613.9	705.9	733.3	744.3	x
      Public services associate professionals	3561	11	621.7	675.4	x	x	x	x	x	x	x	x	x	x
      Human resources and industrial relations officers	3562	x	x	487.7	x	x	x	x	x	x	x	x	x	x
      Vocational and industrial trainers and instructors	3563	x	490.2	465.5	x	x	x	x	x	x	x	x	x	x
      Careers advisers and vocational guidance specialists	3564	x	x	615.2	x	x	x	x	x	x	x	x	x	x
      Inspectors of standards and regulations	3565	x	486.2	549.3	x	x	x	x	x	x	x	x	x	x
      Health and safety officers	3567	x	577.3	624.2	x	x	x	x	x	x	x	x	x	x
Administrative and secretarial occupations	4	100	344.5	351.7	154.5	211.2	247.8	273.2	309.5	384.6	427.1	434.1	467.5	539.5
  Administrative occupations	41	83	359.3	360.9	154.6	223.0	258.8	279.8	315.1	399.4	431.5	448.7	478.6	547.1
    Administrative occupations: Government and related organisations	411	24	431.5	410.5	247.5	306.1	321.3	356.3	388.6	431.5	473.6	478.6	487.8	x
      National government administrative occupations	4112	18	431.5	426.7	x	x	x	x	x	x	x	x	x	x
      Local government administrative occupations	4113	5	385.9	369.1	x	x	x	x	x	x	x	x	x	x
      Officers of non-governmental organisations	4114	x	x	305.0	x	x	x	x	x	x	x	x	x	x
    Administrative occupations: Finance	412	19	335.9	352.8	149.5	207.2	257.5	280.3	305.2	373.0	417.8	427.9	446.7	x
      Credit controllers	4121	x	355.6	357.7	x	x	x	x	x	x	x	x	x	x
      Book-keepers, payroll managers and wages clerks	4122	9	324.3	337.7	x	x	x	x	x	x	x	x	x	x
      Bank and post office clerks	4123	6	347.1	369.3	x	x	x	x	x	x	x	x	x	x
      Finance officers	4124	x	x	x	x	x	x	x	x	x	x	x	x	x
      Financial administrative occupations n.e.c.	4129	x	324.9	363.8	x	x	x	x	x	x	x	x	x	x
    Administrative occupations: Records	413	20	368.3	378.6	174.1	240.0	267.1	298.4	341.3	403.4	432.9	447.3	490.3	x
      Records clerks and assistants	4131	11	348.1	362.1	x	x	x	x	x	x	x	x	x	x
      Pensions and insurance clerks and assistants	4132	x	362.6	404.5	x	x	x	x	x	x	x	x	x	x
      Stock control clerks and assistants	4133	x	x	470.1	x	x	x	x	x	x	x	x	x	x
      Transport and distribution clerks and assistants	4134	x	x	363.7	x	x	x	x	x	x	x	x	x	x
      Library clerks and assistants	4135	x	336.5	340.5	x	x	x	x	x	x	x	x	x	x
      Human resources administrative occupations	4138	x	387.6	394.8	x	x	x	x	x	x	x	x	x	x
    Other administrative occupations	415	17	245.4	246.2	x	132.8	149.8	160.0	197.3	281.8	304.7	320.5	333.3	x
      Sales administrators	4151	x	x	317.2	x	x	x	x	x	x	x	x	x	x
      Other administrative occupations n.e.c.	4159	16	243.4	240.8	x	x	x	x	x	x	x	x	x	x
    Administrative occupations: Office managers and supervisors	416	4	509.6	504.2	x	x	409.7	418.3	445.6	529.9	542.2	x	x	x
      Office managers	4161	x	538.5	565.7	x	x	x	x	x	x	x	x	x	x
      Office supervisors	4162	x	402.1	392.7	x	x	x	x	x	x	x	x	x	x
  Secretarial and related occupations	42	17	312.7	307.9	150.7	173.4	194.3	221.9	279.5	328.9	367.0	382.2	408.5	x
    Secretarial and related occupations	421	17	312.7	307.9	150.7	173.4	194.3	221.9	279.5	328.9	367.0	382.2	408.5	x
      Medical secretaries	4211	x	x	355.5	x	x	x	x	x	x	x	x	x	x
      Legal secretaries	4212	x	x	420.9	x	x	x	x	x	x	x	x	x	x
      School secretaries	4213	x	353.9	357.8	x	x	x	x	x	x	x	x	x	x
      Company secretaries	4214	x	x	244.5	x	x	x	x	x	x	x	x	x	x
      Personal assistants and other secretaries	4215	5	323.6	329.7	x	x	x	x	x	x	x	x	x	x
      Receptionists	4216	7	274.8	256.1	x	x	x	x	x	x	x	x	x	x
      Typists and related keyboard occupations	4217	x	x	x	x	x	x	x	x	x	x	x	x	x
Skilled trades occupations	5	77	431.5	467.5	241.1	303.6	329.3	359.1	394.3	471.2	535.1	568.4	620.9	x
  Skilled agricultural and related trades	51	x	344.7	346.7	x	x	x	319.1	328.4	370.6	x	x	x	x
    Agricultural and related trades	511	x	344.7	346.7	x	x	x	319.1	328.4	370.6	x	x	x	x
      Farmers	5111	..												
      Horticultural trades	5112	..												
      Gardeners and landscape gardeners	5113	x	378.2	375.1	x	x	x	x	x	x	x	x	x	x
      Groundsmen and greenkeepers	5114	x	329.5	329.2	x	x	x	x	x	x	x	x	x	x
      Agricultural and fishing trades n.e.c.	5119	:												
  Skilled metal, electrical and electronic trades	52	40	515.3	540.3	332.4	386.6	411.8	428.7	466.5	560.4	617.5	642.9	669.4	x
    Metal forming, welding and related trades	521	7	480.2	504.1	x	374.6	389.5	400.5	424.7	533.5	562.9	x	x	x
      Smiths and forge workers	5211	:												
      Moulders, core makers and die casters	5212	..												
      Sheet metal workers	5213	:												
      Metal plate workers, and riveters	5214	:												
      Welding trades	5215	7	447.8	481.2	x	x	x	x	x	x	x	x	x	x
      Pipe fitters	5216	..												
    Metal machining, fitting and instrument making trades	522	13	545.1	552.3	349.8	389.5	417.0	434.1	472.4	590.2	640.2	653.9	x	x
      Metal machining setters and setter-operators	5221	x	x	x	x	x	x	x	x	x	x	x	x	x
      Tool makers, tool fitters and markers-out	5222	..												
      Metal working production and maintenance fitters	5223	11	544.6	555.6	x	x	x	x	x	x	x	x	x	x
      Precision instrument makers and repairers	5224	:												
      Air-conditioning and refrigeration engineers	5225	x	432.7	504.5	x	x	x	x	x	x	x	x	x	x
    Vehicle trades	523	10	485.5	539.9	x	398.1	412.0	429.3	462.4	518.9	541.9	x	x	x
      Vehicle technicians, mechanics and electricians	5231	x	418.4	481.1	x	x	x	x	x	x	x	x	x	x
      Vehicle body builders and repairers 	5232	x	497.0	518.9	x	x	x	x	x	x	x	x	x	x
      Vehicle paint technicians	5234	x	419.8	451.6	x	x	x	x	x	x	x	x	x	x
      Aircraft maintenance and related trades	5235	x	x	746.5	x	x	x	x	x	x	x	x	x	x
      Boat and ship builders and repairers	5236	x	x	429.3	x	x	x	x	x	x	x	x	x	x
      Rail and rolling stock builders and repairers	5237	..												
    Electrical and electronic trades	524	8	501.0	514.1	x	x	384.0	419.8	452.7	573.3	614.8	x	x	x
      Electricians and electrical fitters	5241	x	x	425.4	x	x	x	x	x	x	x	x	x	x
      Telecommunications engineers	5242	x	597.7	617.4	x	x	x	x	x	x	x	x	x	x
      TV, video and audio engineers	5244	..												
      IT engineers	5245	x	x	530.8	x	x	x	x	x	x	x	x	x	x
      Electrical and electronic trades n.e.c.	5249	x	516.3	582.8	x	x	x	x	x	x	x	x	x	x
    Skilled metal, electrical and electronic trades supervisors	525	x	645.5	702.5	x	x	x	x	x	x	x	x	x	x
      Skilled metal, electrical and electronic trades supervisors	5250	x	645.5	702.5	x	x	x	x	x	x	x	x	x	x
  Skilled construction and building trades	53	14	431.6	508.1	x	361.1	380.2	386.6	415.2	467.4	550.4	x	x	x
    Construction and building trades	531	11	418.6	452.7	x	360.2	370.1	380.5	407.6	439.6	470.8	503.3	x	x
      Steel erectors	5311	x	411.3	424.2	x	x	x	x	x	x	x	x	x	x
      Bricklayers and masons	5312	..												
      Roofers, roof tilers and slaters	5313	x	x	693.7	x	x	x	x	x	x	x	x	x	x
      Plumbers and heating and ventilating engineers	5314	x	411.5	431.8	x	x	x	x	x	x	x	x	x	x
      Carpenters and joiners	5315	5	424.3	448.0	x	x	x	x	x	x	x	x	x	x
      Glaziers, window fabricators and fitters	5316	x	345.0	358.4	x	x	x	x	x	x	x	x	x	x
      Construction and building trades n.e.c.	5319	..												
    Building finishing trades	532	x	398.7	403.1	x	x	x	x	x	x	x	x	x	x
      Plasterers	5321	..												
      Floorers and wall tilers	5322	:												
      Painters and decorators	5323	x	339.7	388.8	x	x	x	x	x	x	x	x	x	x
    Construction and building trades supervisors	533	x	x	851.4	x	x	x	x	x	x	x	x	x	x
      Construction and building trades supervisors	5330	x	x	851.4	x	x	x	x	x	x	x	x	x	x
  Textiles, printing and other skilled trades	54	18	300.2	311.8	x	223.8	241.1	259.4	280.0	313.0	351.4	365.3	x	x
    Textiles and garments trades	541	x	419.8	440.1	x	x	x	x	x	x	x	x	x	x
      Weavers and knitters	5411	..												
      Upholsterers	5412	:												
      Footwear and leather working trades	5413	:												
      Tailors and dressmakers	5414	:												
      Textiles, garments and related trades n.e.c.	5419	..												
    Printing trades	542	x	314.0	357.8	x	x	x	x	x	x	x	x	x	x
      Pre-press technicians	5421	:												
      Printers	5422	..												
      Print finishing and binding workers	5423	x	324.1	380.8	x	x	x	x	x	x	x	x	x	x
    Food preparation and hospitality trades	543	15	298.8	307.4	x	216.8	229.9	252.8	278.9	311.4	349.6	364.9	x	x
      Butchers	5431	x	x	319.3	x	x	x	x	x	x	x	x	x	x
      Bakers and flour confectioners	5432	x	292.6	269.7	x	x	x	x	x	x	x	x	x	x
      Fishmongers and poultry dressers	5433	x	x	291.2	x	x	x	x	x	x	x	x	x	x
      Chefs	5434	x	311.9	366.4	x	x	x	x	x	x	x	x	x	x
      Cooks	5435	x	x	216.6	x	x	x	x	x	x	x	x	x	x
      Catering and bar managers	5436	x	274.8	312.1	x	x	x	x	x	x	x	x	x	x
    Other skilled trades	544	x	281.5	274.1	x	x	x	x	x	x	x	x	x	x
      Glass and ceramics makers, decorators and finishers	5441	..												
      Furniture makers and other craft woodworkers	5442	..												
      Florists	5443	..												
      Other skilled trades n.e.c.	5449	x	285.3	305.3	x	x	x	x	x	x	x	x	x	x
Caring, leisure and other service occupations	6	72	252.3	261.2	91.2	138.3	159.9	180.0	213.9	283.1	322.1	338.8	368.1	439.0
  Caring personal service occupations	61	61	254.0	262.3	91.5	142.4	166.0	184.1	218.5	287.0	321.2	333.3	360.7	427.6
    Childcare and related personal services	612	25	209.3	211.2	x	134.2	146.3	158.8	186.7	232.5	262.7	276.6	289.1	x
      Nursery nurses and assistants	6121	6	225.0	232.8	x	x	x	x	x	x	x	x	x	x
